10.1145/3055301.3068754 0000-0001-7303-7662
10.1145/3134434.3136559 0000-0001-7176-4479
10.1145/3134434.3136559 0000-0002-5979-7662
10.1145/2524713.2524719 0000-0003-4807-0916
10.1145/2933412 0000-0003-4807-0916
10.1145/2949336 0000-0001-6090-3736
10.1145/2398356.2398358 0000-0001-6090-3736
10.1145/2838730 0000-0003-0291-3308
10.1145/2838730 0000-0003-0470-6011
10.1145/2838730 0000-0002-1013-1990
10.1109/MSPEC.2017.7802744 0000-0001-5228-3434
10.1007/s10676-011-9279-1 0000-0001-9576-1002
10.1109/MC.2017.3641646 0000-0003-4094-1369
10.1109/MC.2017.3641646 0000-0002-1408-4212
10.1109/2.889091 0000-0003-4094-1369
